genomeID,difference count,iterations,,,,,,,,,,,,,,,,,,,,
GCA_000003645,10,['9', '9', '6', '3', '1', '2', '1', '3', '2', '0'],,,,,,,,,,,
GCA_000003925,6,['15', '10', '7', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000003955,9,['14', '12', '7', '5', '1', '2', '1', '1', '0'],,,,,,,,,,,,
GCA_000005825,4,['9', '10', '6', '0'],,,,,,,,,,,,,,,,,
GCA_000005845,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000006155,7,['15', '10', '4', '4', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000006605,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000006625,5,['10', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000006645,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000006665,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000006685,8,['7', '1', '1', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000006725,8,['4', '1', '5', '2', '3', '2', '1', '0'],,,,,,,,,,,,,
GCA_000006745,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000006765,4,['7', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000006785,5,['3', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000006825,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000006845,21,['10', '11', '7', '4', '3', '5', '8', '4', '7', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']
GCA_000006865,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000006885,4,['4', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000006905,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000006925,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000006945,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000006965,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000006985,6,['18', '7', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000007025,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007045,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007085,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007105,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007125,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007145,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007165,5,['8', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007205,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007245,10,['7', '1', '2', '1', '3', '7', '12', '5', '3', '0'],,,,,,,,,,,
GCA_000007265,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007285,5,['2', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007325,6,['5', '2', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000007365,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007385,6,['5', '3', '6', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000007405,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007425,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007445,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007465,8,['4', '2', '4', '6', '9', '6', '3', '0'],,,,,,,,,,,,,
GCA_000007485,4,['19', '8', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000007505,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007525,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007545,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007565,4,['10', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007585,7,['4', '1', '4', '11', '10', '1', '0'],,,,,,,,,,,,,,
GCA_000007605,4,['4', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007625,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007645,10,['7', '4', '2', '3', '1', '1', '1', '3', '1', '0'],,,,,,,,,,,
GCA_000007665,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007685,3,['12', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007705,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007725,5,['3', '1', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007745,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007765,5,['7', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007785,6,['10', '7', '10', '8', '5', '0'],,,,,,,,,,,,,,,
GCA_000007825,9,['12', '9', '4', '5', '4', '1', '2', '1', '0'],,,,,,,,,,,,
GCA_000007845,8,['14', '9', '7', '2', '2', '1', '2', '0'],,,,,,,,,,,,,
GCA_000007865,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007885,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007905,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007925,4,['11', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007945,6,['5', '5', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000007985,7,['12', '4', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000008005,8,['6', '10', '6', '6', '3', '2', '1', '0'],,,,,,,,,,,,,
GCA_000008025,6,['6', '3', '2', '2', '2', '0'],,,,,,,,,,,,,,,
GCA_000008045,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008065,5,['5', '4', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000008105,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008125,5,['7', '4', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000008145,4,['4', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008165,8,['14', '10', '6', '2', '2', '2', '1', '0'],,,,,,,,,,,,,
GCA_000008185,3,['13', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000008205,2,['8', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008225,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000008245,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008285,10,['9', '8', '10', '9', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000008305,8,['11', '5', '3', '3', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000008325,4,['15', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008345,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008365,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008385,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008405,6,['4', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000008425,12,['7', '4', '3', '1', '2', '5', '11', '11', '3', '1', '1', '0'],,,,,,,,,
GCA_000008445,8,['14', '9', '7', '2', '2', '1', '2', '0'],,,,,,,,,,,,,
GCA_000008465,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008485,5,['5', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000008505,8,['13', '13', '8', '3', '1', '1', '2', '0'],,,,,,,,,,,,,
GCA_000008525,6,['5', '3', '4', '3', '2', '0'],,,,,,,,,,,,,,,
GCA_000008545,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008565,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008585,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008605,5,['5', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000008625,6,['5', '4', '5', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000008685,6,['5', '4', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000008725,4,['1', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008745,3,['5', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000008765,7,['5', '6', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000008785,7,['7', '6', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000008805,7,['4', '7', '8', '6', '4', '1', '0'],,,,,,,,,,,,,,
GCA_000008865,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008885,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008925,7,['12', '7', '4', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000008945,9,['7', '1', '1', '2', '3', '4', '2', '3', '0'],,,,,,,,,,,,
GCA_000008985,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009005,8,['12', '6', '4', '4', '3', '1', '1', '0'],,,,,,,,,,,,,
GCA_000009025,6,['9', '3', '3', '4', '3', '0'],,,,,,,,,,,,,,,
GCA_000009045,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009065,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009085,4,['10', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000009105,10,['12', '9', '5', '6', '5', '7', '6', '4', '1', '0'],,,,,,,,,,,
GCA_000009125,7,['7', '4', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000009145,5,['4', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009165,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000009205,7,['5', '3', '4', '2', '4', '2', '0'],,,,,,,,,,,,,,
GCA_000009225,6,['11', '5', '5', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000009245,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009265,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009285,4,['9', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000009305,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009325,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009345,3,['9', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009365,3,['15', '8', '0'],,,,,,,,,,,,,,,,,,
GCA_000009385,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009405,6,['6', '3', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000009425,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009445,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009465,13,['9', '9', '9', '7', '4', '2', '2', '4', '5', '7', '4', '2', '0'],,,,,,,,
GCA_000009485,4,['11', '2', '1', '0'],,,,,,,,,,,,,,,,,
