genomeID,difference count,iterations,,,,,,,,,,,,,,,,,,,,
GCA_000003645,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000003925,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000003955,11,['12', '7', '2', '3', '2', '3', '1', '4', '1', '2', '0'],,,,,,,,,,
GCA_000005825,4,['9', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000005845,5,['14', '11', '8', '2', '0'],,,,,,,,,,,,,,,,
GCA_000006155,5,['6', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000006605,8,['7', '6', '3', '5', '4', '3', '1', '0'],,,,,,,,,,,,,
GCA_000006625,4,['9', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000006645,10,['7', '5', '6', '8', '7', '3', '2', '1', '1', '0'],,,,,,,,,,,
GCA_000006665,5,['9', '9', '14', '3', '0'],,,,,,,,,,,,,,,,
GCA_000006685,6,['2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000006725,3,['12', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000006745,11,['11', '5', '2', '1', '3', '9', '13', '6', '1', '1', '0'],,,,,,,,,,
GCA_000006765,3,['11', '5', '0'],,,,,,,,,,,,,,,,,,
GCA_000006785,4,['8', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000006825,4,['9', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000006845,21,['7', '5', '5', '8', '4', '7', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']
GCA_000006865,7,['8', '7', '6', '6', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000006885,6,['8', '5', '4', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000006905,6,['10', '5', '3', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000006925,5,['12', '12', '10', '3', '0'],,,,,,,,,,,,,,,,
GCA_000006945,12,['6', '2', '3', '5', '8', '10', '5', '2', '1', '1', '1', '0'],,,,,,,,,
GCA_000006965,5,['9', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000006985,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007025,5,['6', '3', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000007045,4,['14', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007085,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007105,8,['7', '2', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000007125,9,['8', '3', '2', '2', '3', '3', '4', '1', '0'],,,,,,,,,,,,
GCA_000007145,5,['11', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007165,5,['9', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007205,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007245,4,['17', '12', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000007265,6,['9', '3', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000007285,4,['10', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000007325,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007365,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000007385,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007405,5,['12', '11', '9', '2', '0'],,,,,,,,,,,,,,,,
GCA_000007425,4,['7', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007445,6,['9', '11', '10', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000007465,4,['8', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000007485,4,['15', '8', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000007505,5,['7', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007525,4,['12', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000007545,6,['8', '8', '5', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000007565,5,['11', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007585,4,['16', '14', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007605,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007625,5,['4', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007645,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007665,4,['9', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000007685,3,['9', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007705,7,['12', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000007725,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007745,7,['9', '4', '4', '5', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000007765,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000007785,4,['13', '5', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000007825,6,['7', '2', '3', '2', '2', '0'],,,,,,,,,,,,,,,
GCA_000007845,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000007865,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007885,8,['11', '8', '5', '5', '8', '3', '1', '0'],,,,,,,,,,,,,
GCA_000007905,5,['6', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000007925,2,['7', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007945,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000007985,6,['11', '2', '3', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000008005,8,['8', '3', '1', '1', '3', '1', '1', '0'],,,,,,,,,,,,,
GCA_000008025,7,['2', '2', '4', '4', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000008045,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000008065,6,['6', '2', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000008105,13,['9', '5', '3', '1', '2', '1', '2', '6', '10', '7', '1', '1', '0'],,,,,,,,
GCA_000008125,7,['8', '4', '2', '3', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000008145,4,['11', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008165,4,['5', '1', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000008185,2,['9', '0'],,,,,,,,,,,,,,,,,,,
GCA_000008205,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000008225,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008245,4,['4', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000008285,8,['10', '3', '2', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000008305,9,['3', '1', '1', '1', '1', '1', '1', '1', '0'],,,,,,,,,,,,
